1.01E+03,1.97E+03,9.80E+02,1.06E+03,1.00E+03,1.02E+03,1.00E+03,1.01E+03,1.00E+00
1.03E+03,4.26E+03,9.97E+02,1.04E+03,9.92E+02,1.00E+03,1.01E+03,1.01E+03,1.00E+00
1.03E+03,6.62E+03,1.00E+03,1.07E+03,1.01E+03,1.02E+03,9.98E+02,1.01E+03,1.00E+00
1.01E+03,1.27E+03,9.90E+02,1.05E+03,1.01E+03,1.03E+03,9.92E+02,9.98E+02,1.00E+00
1.04E+03,3.82E+03,9.74E+02,1.06E+03,1.02E+03,1.04E+03,1.01E+03,1.00E+03,1.00E+00
1.01E+03,3.48E+03,9.94E+02,1.08E+03,1.01E+03,1.02E+03,9.97E+02,1.01E+03,1.00E+00
1.03E+03,5.68E+03,9.84E+02,1.05E+03,9.97E+02,1.02E+03,9.90E+02,9.97E+02,1.00E+00
1.00E+03,1.31E+03,9.96E+02,1.07E+03,1.02E+03,1.02E+03,9.98E+02,1.02E+03,1.00E+00
1.03E+03,6.57E+03,1.01E+03,1.06E+03,9.93E+02,1.04E+03,1.00E+03,1.02E+03,1.00E+00
1.03E+03,4.53E+03,9.81E+02,1.04E+03,9.91E+02,1.03E+03,9.98E+02,1.01E+03,1.00E+00
1.05E+03,8.29E+03,1.01E+03,1.07E+03,9.96E+02,1.03E+03,1.00E+03,9.97E+02,1.00E+00
1.02E+03,4.62E+03,9.84E+02,1.07E+03,1.00E+03,1.04E+03,1.01E+03,9.86E+02,1.00E+00
9.99E+02,8.36E+03,9.81E+02,1.05E+03,9.81E+02,1.02E+03,9.81E+02,1.01E+03,1.00E+00
1.01E+03,2.91E+03,9.92E+02,1.04E+03,1.01E+03,1.01E+03,9.93E+02,1.02E+03,1.00E+00
1.04E+03,4.64E+03,1.02E+03,1.07E+03,1.01E+03,1.04E+03,9.96E+02,1.01E+03,1.00E+00
1.06E+03,5.32E+03,9.93E+02,1.05E+03,1.00E+03,1.02E+03,9.94E+02,9.96E+02,1.00E+00
9.98E+02,1.21E+03,9.96E+02,1.07E+03,1.03E+03,1.04E+03,1.00E+03,1.00E+03,1.00E+00
1.03E+03,1.88E+03,1.00E+03,1.05E+03,9.93E+02,1.01E+03,1.00E+03,1.01E+03,1.00E+00
1.04E+03,2.47E+03,9.84E+02,1.06E+03,1.00E+03,1.03E+03,9.86E+02,1.02E+03,1.00E+00
1.05E+03,8.68E+03,9.97E+02,1.07E+03,1.02E+03,1.02E+03,9.94E+02,1.00E+03,1.00E+00
1.04E+03,3.54E+03,1.00E+03,1.08E+03,9.93E+02,1.03E+03,9.96E+02,1.02E+03,1.00E+00
1.04E+03,5.54E+03,1.00E+03,1.06E+03,1.01E+03,1.01E+03,1.00E+03,9.88E+02,1.00E+00
1.00E+03,1.20E+03,9.91E+02,1.05E+03,9.89E+02,1.03E+03,9.88E+02,1.01E+03,1.00E+00
1.01E+03,1.08E+03,9.82E+02,1.05E+03,1.00E+03,1.03E+03,9.97E+02,1.00E+03,1.00E+00
1.03E+03,6.97E+03,9.99E+02,1.05E+03,9.99E+02,1.03E+03,9.93E+02,9.96E+02,1.00E+00
1.00E+03,1.14E+03,1.01E+03,1.03E+03,9.94E+02,1.02E+03,9.95E+02,1.02E+03,1.00E+00
1.01E+03,1.07E+03,9.84E+02,1.06E+03,1.01E+03,1.02E+03,9.82E+02,1.01E+03,1.00E+00
9.90E+02,9.84E+02,9.98E+02,1.04E+03,1.02E+03,1.03E+03,1.00E+03,9.89E+02,1.00E+00
1.01E+03,1.18E+03,1.01E+03,1.04E+03,1.02E+03,1.03E+03,1.00E+03,1.01E+03,1.00E+00
9.99E+02,2.39E+03,9.93E+02,1.06E+03,9.98E+02,1.01E+03,1.01E+03,9.92E+02,1.00E+00
1.00E+03,1.07E+03,9.97E+02,1.06E+03,1.02E+03,1.03E+03,9.89E+02,9.85E+02,1.00E+00
1.01E+03,3.04E+03,1.00E+03,1.04E+03,9.88E+02,1.02E+03,9.95E+02,1.01E+03,1.00E+00
1.01E+03,1.00E+03,1.01E+03,1.06E+03,1.00E+03,1.00E+03,9.92E+02,1.02E+03,1.00E+00
1.00E+03,1.02E+03,9.98E+02,1.06E+03,1.01E+03,1.01E+03,9.93E+02,1.01E+03,1.00E+00
1.01E+03,1.12E+03,1.01E+03,1.05E+03,1.01E+03,1.02E+03,1.00E+03,1.00E+03,1.00E+00
9.99E+02,2.02E+03,1.01E+03,1.05E+03,9.88E+02,1.04E+03,1.00E+03,1.02E+03,1.00E+00
1.02E+03,1.08E+03,9.93E+02,1.04E+03,1.02E+03,1.04E+03,9.86E+02,1.01E+03,1.00E+00
9.96E+02,1.10E+03,1.03E+03,1.05E+03,1.01E+03,1.01E+03,1.00E+03,1.01E+03,1.00E+00
9.92E+02,1.10E+03,9.97E+02,1.04E+03,1.00E+03,1.03E+03,1.01E+03,1.01E+03,1.00E+00
1.03E+03,1.05E+03,1.01E+03,1.03E+03,1.01E+03,1.02E+03,9.92E+02,9.95E+02,1.00E+00
1.04E+03,1.50E+03,9.76E+02,1.07E+03,1.02E+03,1.02E+03,9.81E+02,9.92E+02,1.00E+00
1.00E+03,1.32E+03,1.01E+03,1.05E+03,1.01E+03,1.01E+03,9.96E+02,1.01E+03,1.00E+00
1.02E+03,1.30E+03,9.97E+02,1.07E+03,1.01E+03,1.03E+03,1.01E+03,9.99E+02,1.00E+00
1.02E+03,1.33E+03,9.91E+02,1.07E+03,1.00E+03,1.01E+03,9.91E+02,9.93E+02,1.00E+00
9.98E+02,1.09E+03,1.01E+03,1.02E+03,1.04E+03,1.01E+03,1.01E+03,1.00E+03,1.00E+00
9.94E+02,1.03E+03,9.99E+02,1.03E+03,9.87E+02,1.01E+03,1.00E+03,9.91E+02,1.00E+00
1.00E+03,1.00E+03,9.79E+02,1.04E+03,1.00E+03,1.04E+03,1.00E+03,1.01E+03,1.00E+00
1.01E+03,1.07E+03,1.01E+03,1.05E+03,1.00E+03,1.02E+03,1.01E+03,1.00E+03,1.00E+00
1.02E+03,9.91E+02,9.91E+02,1.06E+03,1.01E+03,1.04E+03,1.02E+03,1.02E+03,0.00E+00
1.00E+03,1.04E+03,1.01E+03,1.06E+03,1.01E+03,1.02E+03,9.97E+02,9.98E+02,1.00E+00
9.95E+02,1.03E+03,1.02E+03,1.05E+03,1.01E+03,1.01E+03,9.94E+02,1.01E+03,1.00E+00
